,pokedex_number,name,type_1,type_2,hp,attack,defense,sp_attack,sp_defense,speed,base_stat_total,height_m,weight_kg,base_experience,abilities,hidden_ability,generation,is_legendary,is_mythical,is_baby,color,shape,egg_groups,habitat,growth_rate,capture_rate,base_happiness,genus,evolution_chain_id,flavor_text,sprite_url,hp_norm,atk_norm,def_norm,sp_atk_norm,sp_def_norm,speed_norm
10,11,Metapod,Bug,None,50,20,55,25,25,30,205,0.7,9.9,72.0,['shed-skin'],,generation-1,,,False,green,squiggle,bug,forest,medium,120,70,Cocoon Pokémon,4,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,0.1929133858267716,0.081081081081081,0.2040816326530612,0.0728155339805825,0.0217391304347826,0.1282051282051282
11,12,Butterfree,Bug,Flying,60,45,50,90,80,70,395,1.1,32.0,178.0,"['compound-eyes', 'tinted-lens']",tinted-lens,generation-1,,,False,white,bug-wings,bug,forest,medium,45,70,Butterfly Pokémon,4,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,0.2322834645669291,0.2162162162162162,0.1836734693877551,0.3883495145631068,0.2608695652173913,0.3333333333333333
12,13,Weedle,Bug,Poison,40,35,30,20,20,50,195,0.3,3.2,39.0,"['shield-dust', 'run-away']",run-away,generation-1,,,False,brown,armor,bug,forest,medium,255,70,Hairy Bug Pokémon,5,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,0.1535433070866141,0.1621621621621621,0.1020408163265306,0.0485436893203883,0.0,0.2307692307692307
13,14,Kakuna,Bug,Poison,45,25,50,25,25,35,205,0.6,10.0,72.0,['shed-skin'],,generation-1,,,False,yellow,squiggle,bug,forest,medium,120,70,Cocoon Pokémon,5,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,0.1732283464566929,0.1081081081081081,0.1836734693877551,0.0728155339805825,0.0217391304347826,0.1538461538461538
14,15,Beedrill,Bug,Poison,65,90,40,45,80,75,395,1.0,29.5,178.0,"['swarm', 'sniper']",sniper,generation-1,,,False,yellow,bug-wings,bug,forest,medium,45,70,Poison Bee Pokémon,5,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,0.2519685039370078,0.4594594594594595,0.1428571428571428,0.1699029126213592,0.2608695652173913,0.358974358974359
15,16,Pidgey,Normal,Flying,40,45,40,35,35,56,251,0.3,1.8,50.0,"['keen-eye', 'tangled-feet', 'big-pecks']",big-pecks,generation-1,,,False,brown,wings,flying,forest,medium-slow,255,70,Tiny Bird Pokémon,6,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,0.1535433070866141,0.2162162162162162,0.1428571428571428,0.1213592233009708,0.0652173913043478,0.2615384615384615
16,17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,349,1.1,30.0,122.0,"['keen-eye', 'tangled-feet', 'big-pecks']",big-pecks,generation-1,,,False,brown,wings,flying,forest,medium-slow,120,70,Bird Pokémon,6,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,0.2440944881889764,0.2972972972972973,0.2040816326530612,0.1941747572815534,0.1304347826086956,0.3384615384615385
17,18,Pidgeot,Normal,Flying,83,80,75,70,70,101,479,1.5,39.5,216.0,"['keen-eye', 'tangled-feet', 'big-pecks']",big-pecks,generation-1,,,False,brown,wings,flying,forest,medium-slow,45,70,Bird Pokémon,6,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,0.3228346456692913,0.4054054054054054,0.2857142857142857,0.2912621359223301,0.217391304347826,0.4923076923076923
18,19,Rattata,Normal,None,30,56,35,25,35,72,253,0.3,3.5,51.0,"['run-away', 'guts', 'hustle']",hustle,generation-1,,,False,purple,quadruped,ground,grassland,medium,255,70,Mouse Pokémon,7,"Bites anything when it attacks. Small and very quick, it is a common sight in many places.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,0.1141732283464567,0.2756756756756757,0.1224489795918367,0.0728155339805825,0.0652173913043478,0.3435897435897436
19,20,Raticate,Normal,None,55,81,60,50,70,97,413,0.7,18.5,145.0,"['run-away', 'guts', 'hustle']",hustle,generation-1,,,False,brown,quadruped,ground,grassland,medium,127,70,Mouse Pokémon,7,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,0.2125984251968504,0.4108108108108108,0.2244897959183673,0.1941747572815534,0.217391304347826,0.4717948717948718
20,21,Spearow,Normal,Flying,40,60,30,31,31,70,262,0.3,2.0,52.0,"['keen-eye', 'sniper']",sniper,generation-1,,,False,brown,wings,flying,rough-terrain,medium,255,70,Tiny Bird Pokémon,8,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,0.1535433070866141,0.2972972972972973,0.1020408163265306,0.1019417475728155,0.0478260869565217,0.3333333333333333
21,22,Fearow,Normal,Flying,65,90,65,61,61,100,442,1.2,38.0,155.0,"['keen-eye', 'sniper']",sniper,generation-1,,,False,brown,wings,flying,rough-terrain,medium,90,70,Beak Pokémon,8,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,0.2519685039370078,0.4594594594594595,0.2448979591836734,0.2475728155339805,0.1782608695652174,0.4871794871794871
22,23,Ekans,Poison,None,35,60,44,40,54,55,288,2.0,6.9,58.0,"['intimidate', 'shed-skin', 'unnerve']",unnerve,generation-1,,,False,purple,squiggle,ground|dragon,grassland,medium,255,70,Snake Pokémon,9,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,0.1338582677165354,0.2972972972972973,0.1591836734693877,0.145631067961165,0.1478260869565217,0.2564102564102564
23,24,Arbok,Poison,None,60,95,69,65,79,80,448,3.5,65.0,157.0,"['intimidate', 'shed-skin', 'unnerve']",unnerve,generation-1,,,False,purple,squiggle,ground|dragon,grassland,medium,90,70,Cobra Pokémon,9,It is rumored that the ferocious warning markings on its belly differ from area to area.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,0.2322834645669291,0.4864864864864865,0.2612244897959184,0.2669902912621359,0.2565217391304348,0.3846153846153846
24,25,Pikachu,Electric,None,35,55,40,50,50,90,320,0.4,6.0,112.0,"['static', 'lightning-rod']",lightning-rod,generation-1,,,False,yellow,quadruped,ground|fairy,forest,medium,190,70,Mouse Pokémon,10,"When several of these POKéMON gather, their electricity could build and cause lightning storms.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,0.1338582677165354,0.2702702702702703,0.1428571428571428,0.1941747572815534,0.1304347826086956,0.4358974358974359
25,26,Raichu,Electric,None,60,90,55,90,80,110,485,0.8,30.0,218.0,"['static', 'lightning-rod']",lightning-rod,generation-1,,,False,yellow,upright,ground|fairy,forest,medium,75,70,Mouse Pokémon,10,Its long tail serves as a ground to protect itself from its own high-voltage power.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,0.2322834645669291,0.4594594594594595,0.2040816326530612,0.3883495145631068,0.2608695652173913,0.5384615384615384
26,27,Sandshrew,Ground,None,50,75,85,20,30,40,300,0.6,12.0,60.0,"['sand-veil', 'sand-rush']",sand-rush,generation-1,,,False,yellow,upright,ground,rough-terrain,medium,255,70,Mouse Pokémon,11,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,0.1929133858267716,0.3783783783783784,0.3265306122448979,0.0485436893203883,0.0434782608695652,0.1794871794871795
27,28,Sandslash,Ground,None,75,100,110,45,55,65,450,1.0,29.5,158.0,"['sand-veil', 'sand-rush']",sand-rush,generation-1,,,False,yellow,upright,ground,rough-terrain,medium,90,70,Mouse Pokémon,11,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,0.2913385826771653,0.5135135135135135,0.4285714285714285,0.1699029126213592,0.1521739130434782,0.3076923076923077
28,29,Nidoran-F,Poison,None,55,47,52,40,40,41,275,0.4,7.0,55.0,"['poison-point', 'rivalry', 'hustle']",hustle,generation-1,,,False,blue,quadruped,monster|ground,grassland,medium-slow,235,70,Poison Pin Pokémon,12,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,0.2125984251968504,0.227027027027027,0.1918367346938775,0.145631067961165,0.0869565217391304,0.1846153846153846
29,30,Nidorina,Poison,None,70,62,67,55,55,56,365,0.8,20.0,128.0,"['poison-point', 'rivalry', 'hustle']",hustle,generation-1,,,False,blue,quadruped,no-eggs,grassland,medium-slow,120,70,Poison Pin Pokémon,12,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,0.2716535433070866,0.3081081081081081,0.2530612244897959,0.2184466019417475,0.1521739130434782,0.2615384615384615
30,31,Nidoqueen,Poison,Ground,90,92,87,75,85,76,505,1.3,60.0,227.0,"['poison-point', 'rivalry', 'sheer-force']",sheer-force,generation-1,,,False,blue,upright,no-eggs,grassland,medium-slow,45,70,Drill Pokémon,12,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,0.3503937007874015,0.4702702702702703,0.3346938775510204,0.3155339805825243,0.2826086956521739,0.3641025641025641
31,32,Nidoran-M,Poison,None,46,57,40,40,40,50,273,0.5,9.0,55.0,"['poison-point', 'rivalry', 'hustle']",hustle,generation-1,,,False,purple,quadruped,monster|ground,grassland,medium-slow,235,70,Poison Pin Pokémon,13,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,0.1771653543307086,0.2810810810810811,0.1428571428571428,0.145631067961165,0.0869565217391304,0.2307692307692307
32,33,Nidorino,Poison,None,61,72,57,55,55,65,365,0.9,19.5,128.0,"['poison-point', 'rivalry', 'hustle']",hustle,generation-1,,,False,purple,quadruped,monster|ground,grassland,medium-slow,120,70,Poison Pin Pokémon,13,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,0.2362204724409448,0.3621621621621622,0.2122448979591836,0.2184466019417475,0.1521739130434782,0.3076923076923077
33,34,Nidoking,Poison,Ground,81,102,77,85,75,85,505,1.4,62.0,227.0,"['poison-point', 'rivalry', 'sheer-force']",sheer-force,generation-1,,,False,purple,upright,monster|ground,grassland,medium-slow,45,70,Drill Pokémon,13,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,0.3149606299212598,0.5243243243243243,0.2938775510204082,0.3640776699029126,0.2391304347826087,0.4102564102564102
34,35,Clefairy,Fairy,None,70,45,48,60,65,35,323,0.6,7.5,113.0,"['cute-charm', 'magic-guard', 'friend-guard']",friend-guard,generation-1,,,False,pink,upright,fairy,mountain,fast,150,140,Fairy Pokémon,14,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,0.2716535433070866,0.2162162162162162,0.1755102040816326,0.2427184466019417,0.1956521739130435,0.1538461538461538
35,36,Clefable,Fairy,None,95,70,73,95,90,60,483,1.3,40.0,217.0,"['cute-charm', 'magic-guard', 'unaware']",unaware,generation-1,,,False,pink,upright,fairy,mountain,fast,25,140,Fairy Pokémon,14,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,0.3700787401574803,0.3513513513513513,0.2775510204081632,0.4126213592233009,0.3043478260869565,0.282051282051282
36,37,Vulpix,Fire,None,38,41,40,50,65,65,299,0.6,9.9,60.0,"['flash-fire', 'drought']",drought,generation-1,,,False,brown,quadruped,ground,grassland,medium,190,70,Fox Pokémon,15,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,0.1456692913385826,0.1945945945945946,0.1428571428571428,0.1941747572815534,0.1956521739130435,0.3076923076923077
37,38,Ninetales,Fire,None,73,76,75,81,100,100,505,1.1,19.9,177.0,"['flash-fire', 'drought']",drought,generation-1,,,False,yellow,quadruped,ground,grassland,medium,75,70,Fox Pokémon,15,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,0.2834645669291338,0.3837837837837838,0.2857142857142857,0.3446601941747573,0.3478260869565217,0.4871794871794871
38,39,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,270,0.5,5.5,95.0,"['cute-charm', 'competitive', 'friend-guard']",friend-guard,generation-1,,,False,pink,humanoid,fairy,grassland,fast,170,70,Balloon Pokémon,16,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,0.4488188976377952,0.2162162162162162,0.0612244897959183,0.1699029126213592,0.0217391304347826,0.0769230769230769
39,40,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,435,1.0,12.0,196.0,"['cute-charm', 'competitive', 'frisk']",frisk,generation-1,,,False,pink,humanoid,fairy,grassland,fast,50,70,Balloon Pokémon,16,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,0.547244094488189,0.3513513513513513,0.1632653061224489,0.3640776699029126,0.1304347826086956,0.2051282051282051
40,41,Zubat,Poison,Flying,40,45,35,30,40,55,245,0.8,7.5,49.0,"['inner-focus', 'infiltrator']",infiltrator,generation-1,,,False,purple,wings,flying,cave,medium,255,70,Bat Pokémon,17,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,0.1535433070866141,0.2162162162162162,0.1224489795918367,0.0970873786407767,0.0869565217391304,0.2564102564102564
41,42,Golbat,Poison,Flying,75,80,70,65,75,90,455,1.6,55.0,159.0,"['inner-focus', 'infiltrator']",infiltrator,generation-1,,,False,purple,wings,flying,cave,medium,90,70,Bat Pokémon,17,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,0.2913385826771653,0.4054054054054054,0.2653061224489796,0.2669902912621359,0.2391304347826087,0.4358974358974359
42,43,Oddish,Grass,Poison,45,50,55,75,65,30,320,0.5,5.4,64.0,"['chlorophyll', 'run-away']",run-away,generation-1,,,False,blue,legs,plant,grassland,medium-slow,255,70,Weed Pokémon,18,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,0.1732283464566929,0.2432432432432432,0.2040816326530612,0.3155339805825243,0.1956521739130435,0.1282051282051282
43,44,Gloom,Grass,Poison,60,65,70,85,75,40,395,0.8,8.6,138.0,"['chlorophyll', 'stench']",stench,generation-1,,,False,blue,humanoid,plant,grassland,medium-slow,120,70,Weed Pokémon,18,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,0.2322834645669291,0.3243243243243243,0.2653061224489796,0.3640776699029126,0.2391304347826087,0.1794871794871795
44,45,Vileplume,Grass,Poison,75,80,85,110,90,50,490,1.2,18.6,221.0,"['chlorophyll', 'effect-spore']",effect-spore,generation-1,,,False,red,humanoid,plant,grassland,medium-slow,45,70,Flower Pokémon,18,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,0.2913385826771653,0.4054054054054054,0.3265306122448979,0.4854368932038835,0.3043478260869565,0.2307692307692307
45,46,Paras,Bug,Grass,35,70,55,45,55,25,285,0.3,5.4,57.0,"['effect-spore', 'dry-skin', 'damp']",damp,generation-1,,,False,red,armor,bug|plant,forest,medium,190,70,Mushroom Pokémon,19,Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,0.1338582677165354,0.3513513513513513,0.2040816326530612,0.1699029126213592,0.1521739130434782,0.1025641025641025
46,47,Parasect,Bug,Grass,60,95,80,60,80,30,405,1.0,29.5,142.0,"['effect-spore', 'dry-skin', 'damp']",damp,generation-1,,,False,red,armor,bug|plant,forest,medium,75,70,Mushroom Pokémon,19,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,0.2322834645669291,0.4864864864864865,0.3061224489795918,0.2427184466019417,0.2608695652173913,0.1282051282051282
47,48,Venonat,Bug,Poison,60,55,50,40,55,45,305,1.0,30.0,61.0,"['compound-eyes', 'tinted-lens', 'run-away']",run-away,generation-1,,,False,purple,humanoid,bug,forest,medium,190,70,Insect Pokémon,20,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,0.2322834645669291,0.2702702702702703,0.1836734693877551,0.145631067961165,0.1521739130434782,0.2051282051282051
48,49,Venomoth,Bug,Poison,70,65,60,90,75,90,450,1.5,12.5,158.0,"['shield-dust', 'tinted-lens', 'wonder-skin']",wonder-skin,generation-1,,,False,purple,bug-wings,bug,forest,medium,75,70,Poison Moth Pokémon,20,The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,0.2716535433070866,0.3243243243243243,0.2244897959183673,0.3883495145631068,0.2391304347826087,0.4358974358974359
49,50,Diglett,Ground,None,10,55,25,35,45,95,265,0.2,0.8,53.0,"['sand-veil', 'arena-trap', 'sand-force']",sand-force,generation-1,,,False,brown,blob,ground,cave,medium,255,70,Mole Pokémon,21,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,0.0354330708661417,0.2702702702702703,0.0816326530612244,0.1213592233009708,0.108695652173913,0.4615384615384615
50,51,Dugtrio,Ground,None,35,100,50,50,70,120,425,0.7,33.3,149.0,"['sand-veil', 'arena-trap', 'sand-force']",sand-force,generation-1,,,False,brown,heads,ground,cave,medium,50,70,Mole Pokémon,21,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,0.1338582677165354,0.5135135135135135,0.1836734693877551,0.1941747572815534,0.217391304347826,0.5897435897435898
51,52,Meowth,Normal,None,40,45,35,40,40,90,290,0.4,4.2,58.0,"['pickup', 'technician', 'unnerve']",unnerve,generation-1,,,False,yellow,quadruped,ground,urban,medium,255,70,Scratch Cat Pokémon,22,It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,0.1535433070866141,0.2162162162162162,0.1224489795918367,0.145631067961165,0.0869565217391304,0.4358974358974359
52,53,Persian,Normal,None,65,70,60,65,65,115,440,1.0,32.0,154.0,"['limber', 'technician', 'unnerve']",unnerve,generation-1,,,False,yellow,quadruped,ground,urban,medium,90,70,Classy Cat Pokémon,22,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,0.2519685039370078,0.3513513513513513,0.2244897959183673,0.2669902912621359,0.1956521739130435,0.5641025641025641
53,54,Psyduck,Water,None,50,52,48,65,50,55,320,0.8,19.6,64.0,"['damp', 'cloud-nine', 'swift-swim']",swift-swim,generation-1,,,False,yellow,upright,water1|ground,waters-edge,medium,190,70,Duck Pokémon,23,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,0.1929133858267716,0.254054054054054,0.1755102040816326,0.2669902912621359,0.1304347826086956,0.2564102564102564
54,55,Golduck,Water,None,80,82,78,95,80,85,500,1.7,76.6,175.0,"['damp', 'cloud-nine', 'swift-swim']",swift-swim,generation-1,,,False,blue,upright,water1|ground,waters-edge,medium,75,70,Duck Pokémon,23,"Often seen swim­ ming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,0.3110236220472441,0.4162162162162162,0.2979591836734694,0.4126213592233009,0.2608695652173913,0.4102564102564102
55,56,Mankey,Fighting,None,40,80,35,35,45,70,305,0.5,28.0,61.0,"['vital-spirit', 'anger-point', 'defiant']",defiant,generation-1,,,False,brown,upright,ground,mountain,medium,190,70,Pig Monkey Pokémon,24,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,0.1535433070866141,0.4054054054054054,0.1224489795918367,0.1213592233009708,0.108695652173913,0.3333333333333333
56,57,Primeape,Fighting,None,65,105,60,60,70,95,455,1.0,32.0,159.0,"['vital-spirit', 'anger-point', 'defiant']",defiant,generation-1,,,False,brown,upright,ground,mountain,medium,75,70,Pig Monkey Pokémon,24,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,0.2519685039370078,0.5405405405405406,0.2244897959183673,0.2427184466019417,0.217391304347826,0.4615384615384615
